epoch,accuracy,loss,val_accuracy,val_loss
0,0.34957098960876465,1.3350780010223389,0.4639769494533539,1.2965775728225708
1,0.6498754620552063,1.0057011842727661,0.6685879230499268,0.9431816339492798
2,0.7879878282546997,0.5872117280960083,0.7089337110519409,0.7798141837120056
3,0.8438970446586609,0.42169350385665894,0.680115282535553,0.7724881172180176
4,0.8840298652648926,0.3266260623931885,0.7031700015068054,0.8041976094245911
5,0.9100470542907715,0.2701893150806427,0.6772334575653076,0.8572028279304504
6,0.9238859415054321,0.2241375595331192,0.7089337110519409,0.8717575073242188
7,0.9427068829536438,0.1824714094400406,0.6628242135047913,0.9204105734825134
8,0.9504566788673401,0.15647009015083313,0.6916426420211792,0.9743996858596802
9,0.9620813727378845,0.1356353461742401,0.6772334575653076,1.0700472593307495
10,0.9656794667243958,0.1195797398686409,0.7089337110519409,1.0992928743362427
11,0.9665098190307617,0.11180897802114487,0.6858789920806885,1.1463583707809448
12,0.9684472680091858,0.10746138542890549,0.6772334575653076,1.2232084274291992
13,0.9712150692939758,0.09697501361370087,0.6858789920806885,1.214995265007019
14,0.9703847169876099,0.09020183235406876,0.6829971075057983,1.2523915767669678
15,0.9745364189147949,0.08106356859207153,0.6916426420211792,1.340258240699768
16,0.975643515586853,0.08142349869012833,0.7002881765365601,1.3300668001174927
17,0.973429262638092,0.0763639435172081,0.6916426420211792,1.3503283262252808
18,0.975089967250824,0.07448166608810425,0.6772334575653076,1.3926353454589844
19,0.9778577089309692,0.07078596204519272,0.6657060384750366,1.4897468090057373
20,0.9778577089309692,0.06673754006624222,0.6829971075057983,1.4776241779327393
21,0.9745364189147949,0.0682593509554863,0.6657060384750366,1.4488757848739624
22,0.9778577089309692,0.06612700968980789,0.6599423885345459,1.5356969833374023
23,0.9784113168716431,0.06673946976661682,0.6829971075057983,1.5732208490371704
24,0.9781345129013062,0.06274059414863586,0.6829971075057983,1.519221305847168
